# file...... eplus_load.csv
# date...... Sun May 28 15:53:34 2023
# user...... leaf
# host...... (null)
# target.... meter 24
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power,measured_reactive_power,measured_voltage_AB
2013-07-01 01:19:00 PDT,+48768.9161784,+15,+407.987+231.094j
2013-07-01 01:20:00 PDT,+48768.9161784,+14.9999999953,+408.019+231.101j
2013-07-01 01:21:00 PDT,+48766.8238701,+15,+408.026+231.106j
2013-07-01 01:22:00 PDT,+48766.8238701,+15,+408.027+231.107j
2013-07-01 01:23:00 PDT,+48766.8238701,+15,+408.027+231.107j
2013-07-01 01:24:00 PDT,+48766.8238701,+15,+408.027+231.107j
2013-07-01 01:25:00 PDT,+48766.8238749,+14.999999703,+408.034+231.11j
2013-07-01 01:26:00 PDT,+48764.7305458,+15,+407.995+231.087j
2013-07-01 01:27:00 PDT,+48764.7305458,+15,+407.995+231.087j
2013-07-01 01:28:00 PDT,+48764.7305458,+15,+407.995+231.087j
2013-07-01 01:29:00 PDT,+48764.7305458,+15,+407.995+231.087j
2013-07-01 01:30:00 PDT,+48764.7305458,+15.0000000016,+407.989+231.098j
2013-07-01 01:31:00 PDT,+48762.6365059,+15,+408.035+231.126j
2013-07-01 01:32:00 PDT,+48762.6365059,+15,+408.035+231.126j
2013-07-01 01:33:00 PDT,+48762.6365059,+15,+408.035+231.126j
2013-07-01 01:34:00 PDT,+48762.6365059,+15,+408.035+231.126j
2013-07-01 01:35:00 PDT,+48762.6365024,+14.9999839969,+408.086+231.142j
2013-07-01 01:36:00 PDT,+48760.5428882,+15,+408.052+231.123j
2013-07-01 01:37:00 PDT,+48760.5428882,+15,+408.053+231.123j
2013-07-01 01:38:00 PDT,+48760.5428882,+15,+408.053+231.123j
2013-07-01 01:39:00 PDT,+48760.5428882,+15,+408.053+231.123j
2013-07-01 01:40:00 PDT,+48760.5429007,+14.9999967032,+408.035+231.119j
2013-07-01 01:41:00 PDT,+48758.4499734,+15,+408.005+231.102j
2013-07-01 01:42:00 PDT,+48758.4499734,+15,+408.005+231.102j
2013-07-01 01:43:00 PDT,+48758.4499734,+15,+408.005+231.103j
2013-07-01 01:44:00 PDT,+48758.4499734,+15,+408.005+231.103j
2013-07-01 01:45:00 PDT,+48758.4499734,+15.000000002,+407.947+231.054j
2013-07-01 01:46:00 PDT,+48756.3576274,+15,+407.926+231.042j
2013-07-01 01:47:00 PDT,+48756.3576274,+15,+407.926+231.042j
2013-07-01 01:48:00 PDT,+48756.3576274,+15,+407.927+231.043j
2013-07-01 01:49:00 PDT,+48756.3576274,+15,+407.927+231.044j
2013-07-01 01:50:00 PDT,+48756.3575788,+14.9997772295,+407.96+231.061j
2013-07-01 01:51:00 PDT,+48754.2656078,+15,+408.006+231.089j
2013-07-01 01:52:00 PDT,+48754.2656078,+15,+408.006+231.089j
2013-07-01 01:53:00 PDT,+48754.2656078,+15,+408.007+231.09j
2013-07-01 01:54:00 PDT,+48754.2656078,+14.9999996542,+408.007+231.09j
2013-07-01 01:55:00 PDT,+48754.2656361,+15.0001302482,+408.076+231.141j
2013-07-01 01:56:00 PDT,+48752.1734611,+15,+408.082+231.145j
2013-07-01 01:57:00 PDT,+48752.1734611,+15,+408.083+231.145j
2013-07-01 01:58:00 PDT,+48752.1734611,+15,+408.083+231.145j
2013-07-01 01:59:00 PDT,+48752.1734611,+15,+408.083+231.145j
2013-07-01 02:00:00 PDT,+48752.173465,+14.9999990308,+408.063+231.141j
2013-07-01 02:01:00 PDT,+48750.0808872,+15,+408.047+231.132j
2013-07-01 02:02:00 PDT,+48750.0808872,+15,+408.049+231.133j
2013-07-01 02:03:00 PDT,+48750.0808872,+15,+408.049+231.133j
2013-07-01 02:04:00 PDT,+48750.0808872,+15,+408.049+231.133j
